'1','---    ','PRODUCCION MEJILLON EN BATEA','---'
'1','315.1  ','GRANDES CALDERAS','3151'
'1','315.2  ','GRANDES DEPOSITOS METALICOS','3152'
'1','316.1  ','FAB. HERRAMIENTAS MANUALES','3161'
'1','316.2  ','FAB. ARTICULOS DE FERRETERIA/CERRAJERIA','3162'
'1','316.3  ','TORNILLERIA Y ART. DERIVADOS ALAMBRE','3163'
'1','316.4  ','FAB. ART. MENAJE','3164'
'1','316.5  ','FAB. COCINAS, CALENTADORES, CALEFACCION','3165'
'1','316.6  ','FAB. MOBILIARIO METALICO','3166'
'1','316.7  ','FAB. RECIPIENTES Y ENVASES METALICOS','3167'
'1','316.8  ','FAB. ARMAS LIGERAS Y SUS MUNICIONES','3168'
'1','316.9  ','OTROS ART. ACABADOS EN METALES NCOP','3169'
'1','319.1  ','TALLERES DE MECANICA EN GENERAL','3191'
'1','319.9  ','TALLERES MECANICOS NCOP','3199'
'1','321.1  ','CONSTRUCC. MAQ. AGRICOLAS','3211'
'1','321.2  ','CONSTRUCC. TRACTORES AGRICOLAS','3212'
'1','322.1  ','CONS. MAQUINAS PARA TRABAJAR METALES','3221'
'1','322.2  ','CONST. MAQUINAS TRABAJAR MADERA/CORCHO','3222'
'1','322.3  ','FAB.UTILES PARA MAQUINAS HERRAMIENTAS','3223'
'1','323.1  ','CONST. MAQUINAS TEXTILES Y ACCESORIOS','3231'
'1','323.2  ','CONST. MAQUINAS INDUST. CUERO Y CALZADO','3232'
'1','323.3  ','FAB. MAQUINAS DE COSER','3233'
'1','324.1  ','MAQUINAS IND. ALIMENT.,BEBIDAS Y TAB.','3241'
'1','324.2  ','CONST.MAQUINAS PARA INDUSTRIA QUIMICA','3242'
'1','324.3  ','CONST.MAQ.IND. DEL CAUCHO Y PLASTICOS','3243'
'1','325.1  ','CONST.MAQ. MINERIA Y CONSTRUCCION','3251'
'1','325.2  ','CONST. MAQUINAS IND. MINERALES NO METAL','3252'
'1','325.3  ','CONST. MAQ. PARA SIDERURGIA Y FUNDICION','3253'
'1','325.4  ','CONST. MAQ. ELEVACION Y MANIPULACION','3254'
'1','326.1  ','FAB.ENGRANAJES,CADENAS DE TRANSMISION','3261'
'1','326.2  ','FAB. DE RODAMIENTOS','3262'
'1','329.1  ','CONST. MAQ. IND. PAPEL, CARTON Y AA.GG.','3291'
'1','329.2  ','CONST.MAQ. DE LAVADO Y LIMPIEZA EN SECO','3292'
'1','329.3  ','CONST. MOTORES Y TURBINAS (EXC.TRANSPOR)','3293'
'1','329.4  ','CONST. MAQ. MANIPULACION DE FLUIDOS','3294'
'1','329.9  ','CONST. OTRAS MAQ. Y EQUIPOS NCOP','3299'
'1','330    ','CONS.MAQ.DE OFICINA Y ORDENADORES','330'
'1','330.1  ','CONS. MAQ. DE OFICINA Y ORDENADORES','3301'
'1','330.2  ','INSTALAC. MAQ. OFICINA Y ORDENADORES','3302'
'1','341    ','FAB.HILOS Y CABLES ELECTRICOS','341'
'1','341.1  ','FAB. HILOS Y CABLES AISLADOS COMUNICAC.','3411'
'1','341.2  ','FAB.HILOS Y CABLES PARA ELECTRICIDAD','3412'
'1','341.3  ','FAB. HILOS Y CABLES PARA BOBINAS','3413'
'1','341.4  ','FAB.CORDONES FLEXIBLES E HILOS AISLADOS','3414'
'1','341.5  ','FAB. HILOS Y CABLES PARA CONSTRUCCION','3415'
'1','341.9  ','FAB. OTROS HILOS Y CABLES AISLADOS','3419'
'1','342    ','FAB.MATERIAL ELECTRICO DE USO Y EQUIP.','342'
'1','342.1  ','MAQUINAS TRASFORMACION ELECTRICIDAD','3421'
'1','342.2  ','OTRO MATERIAL ELECTRICO','3422'
'1','343    ','FABRICACION PILAS Y ACUMULADORES','343'
'1','343.1  ','FAB. PILAS ELECTRICAS','3431'
'1','343.2  ','FAB. ACUMULADORES ELECTRICOS','3432'
'1','343.3  ','FAB. ACCESORIOS DE PILAS Y ACUMULADORES','3433'
'1','344    ','FAB. CONTADORES Y APARATOS DE MEDIDA','344'
'1','345    ','FAB. APARATOS ELECTRODOMESTICOS','345'
'1','345.1  ','FAB.COCINAS,HORNOS,PLACAS, Y DEMAS','3451'
'1','345.2  ','FAB.REFRIGERADORES Y CONGELADORES','3452'
'1','345.3  ','FAB. LAVAVAJILLAS,LAVADORAS Y SECADORAS','3453'
'1','345.4  ','FAB.CALENTADORES Y CALEFACC. ELECTRICA','3454'
